location,city_name,year,bartik,hhi_so,employment_i
1109,Paris,2005,1.10889041,0.737204611,82101
8421,Lyon,2005,0.985045969,0.664682806,16989
3216,Lille,2005,0.608869672,0.891877055,9492
9312,Marseille,2005,1.07829654,0.977812409,7993
7505,Bordeaux,2005,0.84020716,0.931534171,8419
5216,Nantes,2005,0.78473103,0.918661416,8791
1109,Paris,2009,-0.164725527,0.837512195,102029
8421,Lyon,2009,-0.217236683,0.724166572,20815
3216,Lille,2009,-0.142166764,0.928481102,11390
9312,Marseille,2009,0.113593802,1.01686847,9843
7505,Bordeaux,2009,0.188795909,0.99586761,10624
5216,Nantes,2009,-0.113559872,0.996066272,10538
1109,Paris,2019,0.247039407,0.972750247,107445
8421,Lyon,2019,0.0654519573,0.771072209,23957
3216,Lille,2019,-0.271241188,1.04411066,12681
9312,Marseille,2019,0.0697140992,1.04748547,11308
7505,Bordeaux,2019,-0.229661763,0.977478087,12411
5216,Nantes,2019,-0.183100864,0.962972522,13040
