horizon,within_lower_hhi,within_higher_hhi,spatial_lower_hhi,spatial_higher_hhi
0,-0.297,-0.544,0.183,0.185
1,-0.544,-0.856,0.063,0.051
2,-0.556,-0.874,0.023,0.061
3,-0.574,-0.878,-0.297,-0.482
4,-0.427,-0.718,-0.266,-0.579
5,-0.534,-0.811,-0.457,-0.799
6,-0.447,-0.680,-0.419,-0.756
7,-0.451,-0.631,-0.520,-0.825
8,-0.415,-0.386,-0.426,-0.381
9,-0.455,-0.609,-0.338,-0.452
10,-0.512,-0.750,-0.419,-0.561
11,-0.457,-0.591,-0.579,-0.779
12,-0.485,-0.477,-0.429,-0.406
13,-0.475,-0.530,-0.495,-0.668
14,-0.443,-0.485,-0.505,-0.721
15,-0.459,-0.496,-0.574,-0.784
16,-0.524,-0.682,-0.685,-1.132
17,-0.566,-0.708,-0.723,-1.132
18,-0.504,-0.603,-0.698,-1.114
19,-0.528,-0.643,-0.845,-1.338
20,-0.492,-0.748,-0.931,-1.571
