kind,label,horizon,estimate,lower,upper,color_role
shock,observation 1,-2,-0.45,,,orange
shock,observation 2,-1,-0.20,,,orange
shock,observation 3,0,0.05,,,green
shock,observation 4,1,0.22,,,green
shock,observation 5,2,0.48,,,green
coefficient,group A,,-0.18,-0.31,-0.05,blue
coefficient,group B,,-0.42,-0.60,-0.24,orange
irf,response,-2,0.00,-0.08,0.08,blue
irf,response,-1,0.01,-0.07,0.09,blue
irf,response,0,-0.05,-0.14,0.04,blue
irf,response,1,-0.18,-0.30,-0.06,blue
irf,response,2,-0.29,-0.44,-0.14,blue
irf,response,3,-0.35,-0.52,-0.18,blue
irf,response,4,-0.31,-0.49,-0.13,blue
